Drug_A_Name,Drug_B_Name,Drug_A_Class,Drug_B_Class,DrugsCom_Severity,DrugsCom_Text,DrugBank_Severity,DrugBank_Text,Final_Severity,Risk_Score
Captopril,Olmesartan,ACEI,ARB,Major,"Major
captopril  olmesartan

Applies to: captopril, olmesartan

Using captopril together with olmesartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Olmesartan.",TBD,0.0
Captopril,Acebutolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Acebutolol may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Atenolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Atenolol may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Betaxolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Betaxolol may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Bisoprolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Bisoprolol may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Metoprolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Metoprolol may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Nebivolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Captopril may increase the hypotensive activities of Nebivolol.",TBD,0.0
Captopril,Propranolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Propranolol may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Amlodipine,ACEI,CCB,Minor,"Minor
captopril  amLODIPine

Applies to: captopril, amlodipine

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

Amlodipine may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Felodipine,ACEI,CCB,Minor,"Minor
captopril  felodipine

Applies to: captopril, felodipine

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

Felodipine may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Isradipine,ACEI,CCB,Minor,"Minor
captopril  isradipine

Applies to: captopril, isradipine

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

Isradipine may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Lercanidipine,ACEI,CCB,Error,Error: Could not find or click the 'Check Interactions' button with selector: #interaction_list > div > a,Moderate,"DESCRIPTION

The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Captopril.",TBD,0.0
Captopril,Nifedipine,ACEI,CCB,Minor,"Minor
captopril  NIFEdipine

Applies to: captopril, nifedipine

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

The risk or severity of adverse effects can be increased when Nifedipine is combined with Captopril.",TBD,0.0
Captopril,Diltiazem,ACEI,CCB,Minor,"Minor
captopril  dilTIAZem

Applies to: captopril, diltiazem

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

Diltiazem may increase the hypotensive activities of Captopril.",TBD,0.0
Captopril,Verapamil,ACEI,CCB,Minor,"Minor
captopril  verapamil

Applies to: captopril, verapamil

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

The risk or severity of adverse effects can be increased when Verapamil is combined with Captopril.",TBD,0.0
Captopril,Hydrochlorothiazide,ACEI,Diuretic,Moderate,"Moderate
captopril  hydroCHLOROthiazide

Applies to: captopril, hydrochlorothiazide

Although captopril and hydroCHLOROthiazide are frequently combined together, their effects may be additive on lowering your blood pressure. You may need a dose adjustment or special tests to safely take both medications. Contact your doctor if you have a reduced heart rate, dizziness, fainting, or headaches. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",None,"Warning: 

There were no interactions found. It does not necessarily mean that no interactions exist.",TBD,0.0
Captopril,Indapamide,ACEI,Diuretic,Moderate,"Moderate
captopril  indapamide

Applies to: captopril, indapamide

Although captopril and indapamide are frequently combined together, their effects may be additive on lowering your blood pressure. You may need a dose adjustment or special tests to safely take both medications. Contact your doctor if you have a reduced heart rate, dizziness, fainting, or headaches. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The therapeutic efficacy of Indapamide can be increased when used in combination with Captopril.",TBD,0.0
Captopril,Amiloride,ACEI,Diuretic,Major,"Major
captopril  aMILoride

Applies to: captopril, amiloride

Using captopril together with aMILoride may increase the levels of potassium in your blood (hyperkalemia), especially if you are dehydrated or have kidney disease, diabetes, heart failure, or if you are an older adult. Hyperkalemia can cause symptoms such as weakness, confusion, numbness or tingling, and uneven heartbeats. If your doctor prescribes these medications together, you may need a dose adjustment or special tests to safely take both medications. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of hyperkalemia can be increased when Amiloride is combined with Captopril.",TBD,0.0
Enalapril,Lisinopril,ACEI,ACEI,,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Enalapril is combined with Lisinopril.",TBD,0.0
Enalapril,Perindopril,ACEI,ACEI,,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Enalapril is combined with Perindopril.",TBD,0.0
Enalapril,Ramipril,ACEI,ACEI,,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Ramipril is combined with Enalapril.",TBD,0.0
Enalapril,Imidapril,ACEI,ACEI,Error,Error: Could not find or click the 'Check Interactions' button with selector: #interaction_list > div > a,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Enalapril is combined with Imidapril.",TBD,0.0
Enalapril,Candesartan,ACEI,ARB,Major,"Major
enalapril  candesartan

Applies to: enalapril, candesartan

Using enalapril together with candesartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Enalapril is combined with Candesartan.",TBD,0.0
Enalapril,Irbesartan,ACEI,ARB,Major,"Major
enalapril  irbesartan

Applies to: enalapril, irbesartan

Using enalapril together with irbesartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Enalapril is combined with Irbesartan.",TBD,0.0
Enalapril,Losartan,ACEI,ARB,Major,"Major
enalapril  losartan

Applies to: enalapril, losartan

Using enalapril together with losartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Enalapril is combined with Losartan.",TBD,0.0
Enalapril,Telmisartan,ACEI,ARB,Major,"Major
enalapril  telmisartan

Applies to: enalapril, telmisartan

Using enalapril together with telmisartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Enalapril is combined with Telmisartan.",TBD,0.0
Enalapril,Valsartan,ACEI,ARB,Major,"Major
enalapril  valsartan

Applies to: enalapril, valsartan

Using enalapril together with valsartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Enalapril is combined with Valsartan.",TBD,0.0
Enalapril,Olmesartan,ACEI,ARB,Major,"Major
enalapril  olmesartan

Applies to: enalapril, olmesartan

Using enalapril together with olmesartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Enalapril is combined with Olmesartan.",TBD,0.0
Enalapril,Acebutolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Enalapril may increase the hypotensive activities of Acebutolol.",TBD,0.0
Enalapril,Atenolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Atenolol may increase the hypotensive activities of Enalapril.",TBD,0.0
Enalapril,Betaxolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Betaxolol may increase the hypotensive activities of Enalapril.",TBD,0.0
Enalapril,Bisoprolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Enalapril may increase the hypotensive activities of Bisoprolol.",TBD,0.0
Enalapril,Metoprolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Metoprolol may increase the hypotensive activities of Enalapril.",TBD,0.0
Enalapril,Nebivolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Enalapril may increase the hypotensive activities of Nebivolol.",TBD,0.0
Enalapril,Propranolol,ACEI,Beta-Blocker,,No drug-drug interactions found,Minor,"DESCRIPTION

Propranolol may increase the hypotensive activities of Enalapril.",TBD,0.0
Enalapril,Amlodipine,ACEI,CCB,Minor,"Minor
enalapril  amLODIPine

Applies to: enalapril, amlodipine

Information for this minor interaction is available on the professional version.",None,"Warning: 

There were no interactions found. It does not necessarily mean that no interactions exist.",TBD,0.0
Enalapril,Felodipine,ACEI,CCB,Minor,"Minor
enalapril  felodipine

Applies to: enalapril, felodipine

Information for this minor interaction is available on the professional version.",None,"Warning: 

There were no interactions found. It does not necessarily mean that no interactions exist.",TBD,0.0
Enalapril,Isradipine,ACEI,CCB,Minor,"Minor
enalapril  isradipine

Applies to: enalapril, isradipine

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

Isradipine may increase the hypotensive activities of Enalapril.",TBD,0.0
Enalapril,Lercanidipine,ACEI,CCB,Error,Error: Could not find or click the 'Check Interactions' button with selector: #interaction_list > div > a,None,"Warning: 

There were no interactions found. It does not necessarily mean that no interactions exist.",TBD,0.0
Enalapril,Nifedipine,ACEI,CCB,Minor,"Minor
enalapril  NIFEdipine

Applies to: enalapril, nifedipine

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

The risk or severity of adverse effects can be increased when Enalapril is combined with Nifedipine.",TBD,0.0
Enalapril,Diltiazem,ACEI,CCB,Minor,"Minor
enalapril  dilTIAZem

Applies to: enalapril, diltiazem

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

Diltiazem may increase the hypotensive activities of Enalapril.",TBD,0.0
Enalapril,Verapamil,ACEI,CCB,Minor,"Minor
enalapril  verapamil

Applies to: enalapril, verapamil

Information for this minor interaction is available on the professional version.",Minor,"DESCRIPTION

The risk or severity of adverse effects can be increased when Enalapril is combined with Verapamil.",TBD,0.0
Enalapril,Hydrochlorothiazide,ACEI,Diuretic,Moderate,"Moderate
enalapril  hydroCHLOROthiazide

Applies to: enalapril, hydrochlorothiazide

Although enalapril and hydroCHLOROthiazide are frequently combined together, their effects may be additive on lowering your blood pressure. You may need a dose adjustment or special tests to safely take both medications. Contact your doctor if you have a reduced heart rate, dizziness, fainting, or headaches. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",None,"Warning: 

There were no interactions found. It does not necessarily mean that no interactions exist.",TBD,0.0
Enalapril,Indapamide,ACEI,Diuretic,Moderate,"Moderate
enalapril  indapamide

Applies to: enalapril, indapamide

Although enalapril and indapamide are frequently combined together, their effects may be additive on lowering your blood pressure. You may need a dose adjustment or special tests to safely take both medications. Contact your doctor if you have a reduced heart rate, dizziness, fainting, or headaches. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The therapeutic efficacy of Indapamide can be increased when used in combination with Enalapril.",TBD,0.0
Enalapril,Amiloride,ACEI,Diuretic,Major,"Major
enalapril  aMILoride

Applies to: enalapril, amiloride

Using enalapril together with aMILoride may increase the levels of potassium in your blood (hyperkalemia), especially if you are dehydrated or have kidney disease, diabetes, heart failure, or if you are an older adult. Hyperkalemia can cause symptoms such as weakness, confusion, numbness or tingling, and uneven heartbeats. If your doctor prescribes these medications together, you may need a dose adjustment or special tests to safely take both medications. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of hyperkalemia can be increased when Amiloride is combined with Enalapril.",TBD,0.0
Lisinopril,Perindopril,ACEI,ACEI,,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Lisinopril is combined with Perindopril.",TBD,0.0
Lisinopril,Ramipril,ACEI,ACEI,,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Ramipril is combined with Lisinopril.",TBD,0.0
Lisinopril,Imidapril,ACEI,ACEI,Error,Error: Could not find or click the 'Check Interactions' button with selector: #interaction_list > div > a,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Lisinopril is combined with Imidapril.",TBD,0.0
