Drug_A_Name,Drug_B_Name,Drug_A_Class,Drug_B_Class,DrugBank_Severity,DrugBank_Text,Final_Severity,XAI_Rule_A_Mortality,XAI_Rule_B_Tolerability,XAI_Rule_C_CCB_RAAS_Combo,XAI_Rule_D_Diuretic,XAI_Rule_E_BetaBlocker,XAI_Combined_Clinical_Notes
Captopril,Olmesartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Olmesartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Acebutolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Acebutolol may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Atenolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Atenolol may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Betaxolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Betaxolol may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Bisoprolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Bisoprolol may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Metoprolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Metoprolol may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Nebivolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Captopril may increase the hypotensive activities of Nebivolol.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Propranolol,ACEI,Beta-Blocker,Minor,"DESCRIPTION

Propranolol may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,"Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022).","[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE E - Beta-Blocker Phenotype] Clinical Note: Beta-blockers are one of the five major antihypertensive classes, specifically indicated for patients with a fast resting heart rate (>80 bpm) to target sympathetic overactivity (stress signals). They are also preferred for managing comorbidities like anxiety or arrhythmias (Source: Mahfoud et al., 2024; Mancia et al., 2022)."
Captopril,Amlodipine,ACEI,CCB,Minor,"DESCRIPTION

Amlodipine may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).","Clinical Note: This Combination Therapy is RECOMMENDED. Calcium Channel Blockers (CCBs) can cause leg swelling by widening arteries more than veins. The added ACE Inhibitor helps widen the veins, balancing the pressure and reducing swelling risk by ~38%. ACEIs are superior to ARBs for edema prevention (2.7% vs 3.7% rate). (Sources: Makani et al., 2011; De la Sierra, 2009).",,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE C - Combination Therapy] Clinical Note: This Combination Therapy is RECOMMENDED. Calcium Channel Blockers (CCBs) can cause leg swelling by widening arteries more than veins. The added ACE Inhibitor helps widen the veins, balancing the pressure and reducing swelling risk by ~38%. ACEIs are superior to ARBs for edema prevention (2.7% vs 3.7% rate). (Sources: Makani et al., 2011; De la Sierra, 2009)."
Captopril,Felodipine,ACEI,CCB,Minor,"DESCRIPTION

Felodipine may increase the hypotensive activities of Captopril.",Minor,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).","Clinical Note: This Combination Therapy is RECOMMENDED. Calcium Channel Blockers (CCBs) can cause leg swelling by widening arteries more than veins. The added ACE Inhibitor helps widen the veins, balancing the pressure and reducing swelling risk by ~38%. ACEIs are superior to ARBs for edema prevention (2.7% vs 3.7% rate). (Sources: Makani et al., 2011; De la Sierra, 2009).",,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).

[RULE C - Combination Therapy] Clinical Note: This Combination Therapy is RECOMMENDED. Calcium Channel Blockers (CCBs) can cause leg swelling by widening arteries more than veins. The added ACE Inhibitor helps widen the veins, balancing the pressure and reducing swelling risk by ~38%. ACEIs are superior to ARBs for edema prevention (2.7% vs 3.7% rate). (Sources: Makani et al., 2011; De la Sierra, 2009)."
